IP,Hostname,Port,Port Protocol,CVSS,Severity,QoD,Solution Type,NVT Name,Summary,Specific Result,NVT OID,CVEs,Task ID,Task Name,Timestamp,Result ID,Impact,Solution,Affected Software/OS,Vulnerability Insight,Vulnerability Detection Method,Product Detection Result,BIDs,CERTs,Other References
192.168.31.55,vuln-1.lan,8500,tcp,9.8,High,80,"VendorFix","Adobe ColdFusion RCE Vulnerability (APSB19-14)","Adobe ColdFusion is prone to a file upload restriction bypass vulnerability.","Installed version: 11.0.03.292866
Fixed version:     11.0.18.314030
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.142476,"CVE-2019-7816",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,85a91b3d-8fb0-4884-8578-2fff9e115be0,"Successful exploitation could lead to arbitrary code execution.","Update to version 11 Update 18 or later.","Adobe ColdFusion version 11 prior to Update 18.","","Checks if a vulnerable version is present on the target host.
Details:
Adobe ColdFusion RCE Vulnerability (APSB19-14)
(OID: 1.3.6.1.4.1.25623.1.0.142476)
Version used: 2021-08-30T14:01:20Z
","","","DFN-CERT-2019-0444",""
192.168.31.55,vuln-1.lan,8500,tcp,9.8,High,80,"VendorFix","Adobe ColdFusion Remote Code Execution And Information Disclosure Vulnerabilities (APSB17-30)","Adobe ColdFusion is prone to information disclosure and
  remote code execution vulnerabilities.","Installed version: 11.0.03.292866
Fixed version:     11.0.13.303668
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.811696,"CVE-2017-11286,CVE-2017-11285,CVE-2017-11283,CVE-2017-11284",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,42e01855-cd2b-4ec1-9220-57471f829a88,"Successful exploitation will allow remote
  attackers to execute arbitrary code in the context of the affected application
  and gain access to sensitive information.","Upgrade to ColdFusion 11 Update 13 or 2016
  update 5 or later.","ColdFusion 11 before Update 13 and ColdFusion
  2016 before update 5.","Multiple flaws are due to:

  - Improper Restriction of XML External Entity Reference.

  - Improper Neutralization of Input During Web Page Generation.

  - Deserialization of Untrusted Data.","Checks if a vulnerable version is present on the target host.
Details:
Adobe ColdFusion Remote Code Execution And Information Disclosure Vulnerabil...
(OID: 1.3.6.1.4.1.25623.1.0.811696)
Version used: 2023-07-25T05:05:58Z
","","","DFN-CERT-2017-1609,CB-K17/1542",""
192.168.31.55,vuln-1.lan,3000,tcp,9.8,High,80,"VendorFix","Grafana 6.7.x < 8.5.27, 9.x < 9.2.20, 9.3.x < 9.3.16, 9.4.x < 9.4.13, 9.5.x < 9.5.5, 10.x < 10.0.1 Authentication Bypass Vulnerability","Grafana is prone to an authentication bypass vulnerability.","Installed version: 8.2.6
Fixed version:     8.5.27
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.124342,"CVE-2023-3128",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,cd8026dc-61ac-48e2-87d2-8bd3d97e4fea,"","Update to version 8.5.27, 9.2.20, 9.3.16, 9.4.13, 9.5.5,
  10.0.1 or later.","Grafana versions 6.7.x prior to 8.5.27, version 9.x prior to 9.2.20,
  9.3.x prior to 9.3.16, 9.4.x prior to 9.4.13, 9.5.x prior to 9.5.5 and 10.x prior to 10.0.1.","Grafana validates Azure Active Directory accounts based on the
  email claim. On Azure AD, the profile email field is not unique across Azure AD tenants. This
  can enable a Grafana account takeover and authentication bypass when Azure AD OAuth is configured
  with a multi-tenant Azure AD OAuth application.","Checks if a vulnerable version is present on the target host.
Details:
Grafana 6.7.x < 8.5.27, 9.x < 9.2.20, 9.3.x < 9.3.16, 9.4.x < 9.4.13, 9.5.x ...
(OID: 1.3.6.1.4.1.25623.1.0.124342)
Version used: 2023-10-13T05:06:10Z
","","","DFN-CERT-2023-1676,DFN-CERT-2023-1588,WID-SEC-2023-1551",""
192.168.31.55,vuln-1.lan,3000,tcp,8.8,High,80,"VendorFix","Grafana CSRF Vulnerability (GHSA-cmf4-h3xc-jw8w)","Grafana is prone to a cross-site request forgery (CSRF)
  vulnerability.","Installed version: 8.2.6
Fixed version:     8.3.5
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.147617,"CVE-2022-21703",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,7a712d2d-6074-4e3d-ab88-9c087e0fc34a,"","Update to version 7.5.15, 8.3.5 or later.","Grafana version 3.0-beta1 through 7.5.14 and 8.x through 8.3.4.","","An attacker can exploit this vulnerability for privilege
  escalation by tricking an authenticated user into inviting the attacker as a new user with
  high privileges.
Details:
Grafana CSRF Vulnerability (GHSA-cmf4-h3xc-jw8w)
(OID: 1.3.6.1.4.1.25623.1.0.147617)
Version used: 2022-05-02T03:04:50Z
","","","DFN-CERT-2022-2496,DFN-CERT-2022-2397,DFN-CERT-2022-2350,DFN-CERT-2022-1386,DFN-CERT-2022-0922,DFN-CERT-2022-0794,WID-SEC-2022-0407,CB-K22/0159",""
192.168.31.55,vuln-1.lan,3000,tcp,8.8,High,80,"VendorFix","Grafana OAuth Privilege Escalation Vulnerability (GHSA-82gq-xfg3-5j7v)","Grafana is prone to a privilege escalation vulnerability.","Installed version: 8.2.6
Fixed version:     8.4.6
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.147986,"CVE-2022-24812",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,392e9462-c76b-49bd-9774-12ac9378742d,"","Update to version 8.4.6 or later.","Grafana Enterprise version 8.1.0-beta1 through 8.4.5.","When fine-grained access control is enabled and a client uses
  Grafana API Key to make requests, the permissions for that API Key are cached for 30 seconds for
  the given organization. Because of the way the cache ID is constructed, the consequent requests
  with any API Key evaluate to the same permissions as the previous requests. This can lead to an
  escalation of privileges, when for example a first request is made with Admin permissions, and
  the second request with different API Key is made with Viewer permissions, the second request
  will get the cached permissions from the previous Admin, essentially accessing higher privilege
  than it should.","Checks if a vulnerable version is present on the target host.
Details:
Grafana OAuth Privilege Escalation Vulnerability (GHSA-82gq-xfg3-5j7v)
(OID: 1.3.6.1.4.1.25623.1.0.147986)
Version used: 2022-04-21T11:37:11Z
","","","CB-K22/0434",""
192.168.31.55,vuln-1.lan,3000,tcp,8.7,High,80,"VendorFix","Grafana XSS Vulnerability (GHSA-vw7q-p2qg-4m5f)","Grafana is prone to a cross-site scripting (XSS) vulnerability.","Installed version: 8.2.6
Fixed version:     8.3.10
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.148469,"CVE-2022-31097",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,136528e6-89a5-49b3-a9f4-814f2cde1646,"An attacker can exploit this vulnerability to escalate privilege
  from editor to admin by tricking an authenticated admin to click on a link.","Update to version 8.3.10, 8.4.10, 8.5.9, 9.0.3 or later.","Grafana version 8.x through 8.3.9, 8.4.x through 8.4.9, 8.5.x
  through 8.5.8 and 9.x through 9.0.2.","","Checks if a vulnerable version is present on the target host.
Details:
Grafana XSS Vulnerability (GHSA-vw7q-p2qg-4m5f)
(OID: 1.3.6.1.4.1.25623.1.0.148469)
Version used: 2023-10-18T05:05:17Z
","","","DFN-CERT-2023-1430,DFN-CERT-2023-1395,DFN-CERT-2022-2825,DFN-CERT-2022-2397,DFN-CERT-2022-2395,DFN-CERT-2022-2394,DFN-CERT-2022-2350,WID-SEC-2022-0696",""
192.168.31.55,vuln-1.lan,8500,tcp,8.6,High,80,"VendorFix","Adobe ColdFusion XML External Entity Information Disclosure Vulnerability (APSB16-30)","Adobe ColdFusion is prone to an information disclosure vulnerability.","Installed version: 11.0.03.292866
Fixed version:     11.0.10.300066
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.809027,"CVE-2016-4264",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,b658704d-fc2f-47bc-aea8-291babf424a1,"Successful exploitation will allow remote
  attackers to obtain sensitive information about the application.","Upgrade to version 10 Update 21 or
  11 Update 10 or later.","ColdFusion 10 before Update 21 and
  11 before Update 10.","The flaw is due to an error in parsing
  crafted XML entities.","Checks if a vulnerable version is present on the target host.
Details:
Adobe ColdFusion 'XML External Entity' Information Disclosure Vulnerability ...
(OID: 1.3.6.1.4.1.25623.1.0.809027)
Version used: 2023-07-21T05:05:22Z
","","","DFN-CERT-2016-1411,CB-K16/1324",""
192.168.31.55,vuln-1.lan,3000,tcp,8.5,High,80,"VendorFix","Grafana Datasource Network Restriction Bypass Vulnerability (GHSA-9rrr-6fq2-4f99)","Grafana is prone to a datasource network restriction bypass
  vulnerability.","Installed version: 8.2.6
Fixed version:     8.5.3
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.148162,"CVE-2022-29170",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,bd58241e-b269-4e1e-8d22-1019587aac1a,"The vulnerability is only impacting Grafana Enterprise when the
  'Request security allow list' is used and there is a possibility to add a custom datasource to
  Grafana which returns HTTP redirects. In this scenario, Grafana would blindly follow the
  redirects and potentially give secure information to the clients.","Update to version 7.5.16, 8.5.3 or later.","Grafana version 7.4.x through 7.5.15 and 8.x through 8.5.2.","In Grafana Enterprise, 'Request security allow list' allows to
  configure Grafana in a way so that the instance doesn't call or only calls specific hosts.

  The vulnerability allows to bypass these security configurations if a malicious datasource
  (running on an allowed host) returns an HTTP redirect to a forbidden host.","Checks if a vulnerable version is present on the target host.
Details:
Grafana Datasource Network Restriction Bypass Vulnerability (GHSA-9rrr-6fq2-...
(OID: 1.3.6.1.4.1.25623.1.0.148162)
Version used: 2022-06-03T10:57:19Z
","","","DFN-CERT-2022-2825,WID-SEC-2022-1907,CB-K22/0639",""
192.168.31.55,vuln-1.lan,3000,tcp,8.1,High,80,"VendorFix","Grafana < 8.5.15, 9 < 9.2.4 Multiple Vulnerabilities","Grafana is prone to multiple vulnerabilities.","Installed version: 8.2.6
Fixed version:     8.5.15
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.126208,"CVE-2022-39306,CVE-2022-39307",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,e7b5345b-d70b-497a-9877-a0dd36266631,"","Update to version 8.5.15, 9.2.4 or later.","Grafana prior to version 8.5.15 and version 9 prior to
  9.2.4.","The following vulnerabilities exist:

  - CVE-2022-39306: Vulnerability makes it possible to use the invitation link to sign up with an
  arbitrary username/email with a malicious intent

  - CVE-2022-39307: The impacted endpoint leaks information to unauthenticated users and introduces
  a security risk.","Checks if a vulnerable version is present on the target host.
Details:
Grafana < 8.5.15, 9 < 9.2.4 Multiple Vulnerabilities
(OID: 1.3.6.1.4.1.25623.1.0.126208)
Version used: 2023-10-18T05:05:17Z
","","","DFN-CERT-2023-2756,DFN-CERT-2023-1395,DFN-CERT-2023-0322,WID-SEC-2023-0334",""
192.168.31.55,vuln-1.lan,3000,tcp,8.1,High,80,"VendorFix","Grafana Image Renderer Vulnerability (GHSA-2cfh-233g-m4c5)","Grafana is prone to a vulnerability in Grafana Image Renderer.","Installed version: 8.2.6
Fixed version:     8.3.11
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.148673,"CVE-2022-31176",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,afd6d740-201b-4972-87ce-144f3cfc3f2c,"","Update to version 8.3.11, 8.4.11, 8.5.11, 9.0.8, 9.1.2 or
  later.","Grafana version 9.x and prior.","The Chromium browser embedded in the Grafana image renderer
  allows for 'printing' of unauthorized files in a PNG file. This makes it possible for a malicious
  user to retrieve unauthorized files under some network conditions or via a fake datasource (if
  the user has admin permissions in Grafana). This vulnerability permits unauthorized file
  disclosure and is a potential DoS vector through targeting of extremely large files.","Checks if a vulnerable version is present on the target host.
Details:
Grafana Image Renderer Vulnerability (GHSA-2cfh-233g-m4c5)
(OID: 1.3.6.1.4.1.25623.1.0.148673)
Version used: 2023-10-18T05:05:17Z
","","","WID-SEC-2022-1221",""
192.168.31.55,vuln-1.lan,3000,tcp,7.8,High,80,"VendorFix","Grafana Privilege Escalation Vulnerability (GHSA-rhxj-gh46-jvw8)","Grafana is prone to a privilege escalation vulnerability.","Installed version: 8.2.6
Fixed version:     8.5.14
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.124200,"CVE-2022-31123",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,b1f5bb74-1961-4608-b2a3-deec97e76b0c,"An attacker can convince a server admin to download and
  successfully run a malicious plugin even though unsigned plugins are not allowed.","Update to version 8.5.14, 9.1.8 or later.","Grafana version 7.x through 8.5.13, 9.x through 9.1.7.","","Checks if a vulnerable version is present on the target host.
Details:
Grafana Privilege Escalation Vulnerability (GHSA-rhxj-gh46-jvw8)
(OID: 1.3.6.1.4.1.25623.1.0.124200)
Version used: 2023-10-18T05:05:17Z
","","","DFN-CERT-2023-2756,DFN-CERT-2023-1395,DFN-CERT-2023-0322,WID-SEC-2023-1022,WID-SEC-2023-1021,WID-SEC-2022-1702",""
192.168.31.55,vuln-1.lan,3000,tcp,7.5,High,80,"VendorFix","Grafana Privilege Escalation Vulnerability (GHSA-jv32-5578-pxjc)","Grafana is prone to a privilege escalation vulnerability.","Installed version: 8.2.6
Fixed version:     8.5.14
Installation
path / port:       /

",1.3.6.1.4.1.25623.1.0.124199,"CVE-2022-31130",6bda9821-003a-41a9-88f2-f7a59ec30bb2,"vulnopen",2024-04-15T16:11:25Z,72b21bdd-7557-4a32-9795-4ec8c866f622,"The destination plugin could receive a Grafana authentication
  token of the user.","Update to version 8.5.14, 9.1.8 or later.","Grafana version 7.x through 8.5.13, 9.x through 9.1.7.","","Checks if a vulnerable version is present on the target host.
Details:
Grafana Privilege Escalation Vulnerability (GHSA-jv32-5578-pxjc)
(OID: 1.3.6.1.4.1.25623.1.0.124199)
Version used: 2023-10-18T05:05:17Z
","","","DFN-CERT-2023-2756,DFN-CERT-2023-1395,DFN-CERT-2023-0322,WID-SEC-2022-1702",""
